"Title","Nid","Camera Point ID","Date","Compass bearing","Distance (feet)","Distance (inches)","Height (feet)","Height (inches)","Notes"
"F2","6039","6037","Wed, 2013-11-06","58.00","","","3.50","",""
"F3","6040","6037","Wed, 2013-11-06","338.00","","","3.50","",""
"A1","6076","6075","Tue, 2014-05-13","354.00","52.00","9.00","4.00","10.00",""
"A2","6077","6075","Tue, 2014-05-13","18.00","57.00","2.00","4.00","10.00",""
"A3","6078","6075","Tue, 2014-05-13","68.00","60.00","1.00","4.00","11.00",""
"A4","6079","6075","Tue, 2014-05-13","116.00","48.00","4.00","4.00","5.00",""
"B1","6104","6103","Tue, 2014-05-13","343.00","20.00","3.00","4.00","11.00","View down the ditch "
"B2","6105","6103","Tue, 2014-05-13","344.00","19.00","3.00","4.00","11.00","Facing school "
"B3","6106","6103","Tue, 2014-05-13","111.00","22.00","9.00","4.00","11.00","Facing away from school "
"C1","6114","6113","Tue, 2014-05-13","22.00","43.00","11.00","4.00","9.00",""
"C2","6115","6113","Tue, 2014-05-13","154.00","26.00","2.00","4.00","9.00",""
"C3","6116","6113","Tue, 2014-05-13","328.00","36.00","8.00","4.00","9.00",""
"D1","6124","6123","Tue, 2014-05-13","268.00","19.00","7.00","4.00","9.00","Facing school"
"E1","6128","6127","Tue, 2014-05-13","326.00","28.00","","4.00","8.00","Ditch towards cottonwoods"
"E2","6129","6127","Tue, 2014-05-13","232.00","35.00","7.00","4.00","8.00","Path to spring"
"E3","6130","6127","Tue, 2014-05-13","124.00","26.00","8.00","4.00","8.00","Blackberry bushes by willow."
"A1","6632","6631","Tue, 2014-10-21","260.00","100.00","","4.50","","looking downstream"
"A2","6634","6631","Tue, 2014-10-21","70.00","100.00","","4.50","","looking upstream"
"B1","6637","6636","Tue, 2014-10-21","286.00","100.00","","4.50","","Looking downstream -at the big willow tree and gravel bar on the opposite side of the river"
"B2","6639","6636","Tue, 2014-10-21","100.00","100.00","","4.50","","looking upstream - gravel bar in picture"
"A1","6654","6653","Tue, 2014-10-21","340.00","100.00","","4.50","","looking downstream towards the confluence at the lone willow tree"
"A2","6656","6653","Tue, 2014-10-21","130.00","100.00","","4.50","","looking upstream- make sure fallen down tree is in the photo"
"B1","6659","6658","Tue, 2014-10-21","111.00","100.00","","4.50","","LOOKING UPSTREAM -right at the fallen down tree"
"B2","6661","6658","Tue, 2014-10-21","290.00","100.00","","4.50","","LOOKING DOWNSTREAM - looking towards the confluence"
"A1","6673","6672","Fri, 2014-12-19","16.00","3.00","36.00","4.00","48.00","Look what we found next to the stream!"
"B1","6704","6703","Thu, 2009-12-31","45.00","3.00","36.00","6.00","60.00","test test test "
"A5","7576","5783","Thu, 2015-03-19","35.00","9.45","","1.13","",""
"B3","7581","5784","Thu, 2015-03-19","105.00","9.80","","1.20","","b2"
"B4","7586","5784","Thu, 2015-03-19","172.00","3.64","","1.22","","b2"
"B5","7591","5784","Thu, 2015-03-19","80.00","12.40","","1.50","","c2"
"C4","7596","5785","Thu, 2015-03-19","30.00","7.65","","1.10","","c1"
"C5","7601","5785","Thu, 2015-03-19","19.00","7.65","","","","c3"
"F4","7606","5788","Thu, 2015-03-19","260.00","5.35","","4.00","","f1"
"A1","7931","7556","Thu, 2015-03-19","270.00","15.00","","1.20","","a2"
"A2","7936","1798","Thu, 2015-03-19","260.00","8.00","","","","b1"
"A2","7941","6703","Thu, 2015-03-19","110.00","5.90","","","","b2"
"A2","7946","2833","Thu, 2015-03-19","50.00","9.15","","4.00","","b3"
"A2","7951","4083","Thu, 2015-03-19","120.00","4.85","","1.45","","c1"
"A2","7956","3883","Thu, 2015-03-19","192.00","6.10","","1.20","","c2"
"A2","7961","4083","Thu, 2015-03-19","62.00","90.00","","1.40","","c3"
"A2","7966","5786","Thu, 2015-03-19","40.00","6.40","","1.20","","d1"
"A2","7971","2069","Thu, 2015-03-19","250.00","8.25","","1.25","","d2"
"A2","7976","3658","Thu, 2015-03-19","325.00","10.00","","1.20","","d3"
"A2","7981","1653","Thu, 2015-03-19","0.00","14.45","","1.30","","e1"
"A2","7986","1646","Thu, 2015-03-19","118.00","6.16","","1.11","","c1"
"A2","7996","1648","Thu, 2015-03-19","290.00","5.00","","4.00","","d1"
"A2","8001","2069","Thu, 2015-03-19","110.00","3.90","","4.00","","d2"
"A2","8006","7556","Thu, 2015-03-19","103.00","5.10","","1.35","","a1"
"A3","8011","7556","Thu, 2015-03-19","330.00","5.67","","1.40","","a3"
"A4","8016","4832","Thu, 2015-03-19","110.00","14.37","","1.30","","b2"
"A4","8021","1653","Thu, 2015-03-19","290.00","6.40","","1.12","","e1"
"A4","8026","1791","Thu, 2015-03-19","11.00","2.87","","1.13","","g1"
"A4","8031","4379","Thu, 2015-03-19","300.00","3.16","","1.20","","g2"
"A4","8036","1793","Thu, 2015-03-19","254.00","8.58","","1.20","","h1"
"A4","8086","2333","Thu, 2015-03-19","103.00","5.10","","1.35","","
"
"A6","8141","5783","Thu, 2015-03-19","35.00","9.45","","1.13","",""
"A1","8341","8336","Tue, 2015-06-02","20.00","0.00","","4.00","",""
"A2","8346","8336","Tue, 2015-06-02","60.00","0.00","","4.00","",""
"A3","8361","8336","Tue, 2015-06-02","140.00","0.00","","4.00","",""
"A1","11981","11976","Tue, 2016-04-12","95.00","","849.00","","60.00",""
"A1","12346","12341","Thu, 2016-05-26","180.00","33.00","0.00","4.00","11.00","Downstream view of West Olalla Creek from our study location."
"A2","12351","12341","Thu, 2016-05-26","250.00","32.00","0.00","4.00","11.00","View across West Olalla Creek from our study site."
"A3","12356","12341","Thu, 2016-05-26","340.00","34.00","0.00","4.00","11.00","Upstream view of West Olalla Creek from our study site."
"A1","40031","40026","Sat, 2017-02-04","261.00","36.20","","","","
"
"A2","40036","40026","Sat, 2017-02-04","206.00","44.50","","","","
"
"A3","40041","40026","Sat, 2017-02-04","110.00","43.50","","","","
"
"B1","40051","40046","Sat, 2017-02-04","319.00","33.00","","","","
"
"B2","40056","40046","Sat, 2017-02-04","310.00","33.50","","","","
"
"C1","40066","40061","Sat, 2017-02-04","274.00","13.20","","","","
"
"C2","40071","40061","Sat, 2017-02-04","240.00","20.00","","","","
"
"C3","40076","40061","Sat, 2017-02-04","94.00","34.40","","","","
"
"E1","40101","40096","Sat, 2017-02-04","34.00","13.00","6.00","","","
"
"E2","40106","40096","Sat, 2017-02-04","244.00","26.00","7.00","","","
"
"E3","40111","40096","Sat, 2017-02-04","21.00","25.00","","","","
"
"D1","40116","40091","Sat, 2017-02-04","90.00","37.00","2.00","","","
"
"D2","40121","40091","Sat, 2017-02-04","140.00","65.00","2.00","","","
"
"D3","40126","40091","Sat, 2017-02-04","26.00","32.00","7.00","","",""
"D4","40361","40091","Sat, 2017-03-04","21.00","","","","","
"
"B3","40366","40046","Sat, 2017-03-04","36.00","","","","","
"
