"Title","Journal Entry Field","Post date","Nid","Uid","Stream/Site name"
"Wet but still fun!","
	         Well this weak, actually it was last week but I forgot to jurnal. So last week we had a fun day. The water quality group is fun but kinda wet Ryan helped explain what exacally we do with the ecuiptment. Like how to test the P.H. levil and and the a lot of other things. But we used the old school stuff because the electronics were not working. So next week we are all hoping that the electronixs work so we dont have to get as wet.

	 ","2012-02-22 15:32","3907","282","Tenino Court Site"
"2/15/12","
	I am in invesios spices group. This wed. Bre and me were looking for different tress and all the ones that we found were:soweard fin, older tree, maple tree, english ivy,seder tree, emlock tree, blackbery bushes, and stick bobs. I didn't know the tress name till Bre told me what they were. Bre took pictures of things we didn't know names to.","2012-02-22 18:53","3908","233","Tenino Court Site"
"Field day 2/29","
	Yesterday in the field it was really COLD!! but everyone was still working really well even in the cold . It looked as everyone was getting their jobs done.","2012-03-01 13:41","3943","240","Tenino Court Site"
"Rain, rain go away!","
             Well last weeks field day was really wet! it was raining pretty hard and I had the wrong kind of shoes on. So my feet got really wet. But before we started moving around and testing the water it was really cold and windy, but as soon as we got into testing the water quality I warmed up a little. Even when its raining all the people there make it fun there is always great energy.","2012-03-07 10:25","3944","282","Tenino Court Site"
"Fun in the Rain?","
 Today was a 45o and pouring down rain! My first thoughts when I woke up were ""Do I really have to go outside today?"" I wasn't very enthusiastic when we arrived and as we started up it was freezing! But it actually proved to be a very fun field day! On my team (Wildlife)we found a lot of interesting things! We found a carcass of some sort of larva, a bike peddle, and a really old hollow tree! It turned out that being wet and cold has some upsides as well!","2012-03-14 13:24","3946","120","Tenino Court Site"
"It's cold, it's raining, and I'm wet.","
       The rain relentlessly poured down from the clouds, drenching everyone in a cold, wet blanket. Only half the class showed up, prepared to face the weather. Water soaked through my first coat and started to reach my skin. My fingers stopped hurting and were relived my a numbness that threatened to crawl up my arm. My notebook was soaked through, the cover fell off, and I couldn't read my notes! Oh Oregon, what are we going to do with you?","2012-03-14 14:45","3947","257","Tenino Court Site"
"An Unexpected Smile! :)","It was raining and pouring,
	Trees swaying and wind blowing,
	We walked, ran, and hiked,
	Up to Tenino Court Site,
	Here we will stay,
	In the raining and pouring,
	Trees swaying and wind blowing,
	It was very dreadful weather,
	But my friends and I were together!
	Lots of fun I'd say!
	Even though it was raining and pouring,
	Trees swaying and wind blowing,
	An unexpected smile crept on my face,
	Taking over my frown's place,
	Such an exciting day!
	It was raining and pouring,
	Trees swaying and wind blowing....
~Mallory Moore","2012-03-15 09:04","3948","120","Tenino Court Site"
"At the creek","
  On 3/14 I pulled ivy and holly. The ivy wasn't so bad but the holly was. You wouldn't think that 5 inch tall holly woul have 3 square foot root systems!","2012-03-19 09:26","3958","259","Tenino Court Site"
"First day","
 Today February 15th was my first day on the invasive species team. I came to the field day not knowing what to expect, weather it was going to be fun or hard work. When we arrived at the Tenino site it was frezzing, raining, and snowing. It was so cold by the end I no longer had any feeling in my fingers. So even though it was raning and snowing I actually had a really fun time pulling ivy. ","2012-03-21 14:24","3968","231","Tenino Court Site"
"The forgotten journal entry...","I was so sure that I had already submitted this entry but turns out I didn’t, and it will be a bit of a challenge trying to remember what happened on the first field day of this semester…
This was the first day of me being the group leader of Wild Life and Plant Specialists team. We split into two groups. One group explored the flora part of the area and my group explored the fauna. We found some traces of a running deer, as well as some evidence of a raccoon. It seemed like a usual field day except for one thing: birds. They have finally awoken from this long, rainy winter on this sunny day. This was the time that I regretted not reading those dusty, old books about birds that I have. Fortunately there was Bryn who is an experienced bird identifier. Some of the birds that she was able to identify included song sparrows, robins, lone scrub jays, northern flickers, and chickadees. Overall it was a great, sunny day.","2012-03-30 11:38","3974","232","Tenino Court Site"
"The Final Field Day","So today, April 4 2012, was our final day out in the field. Which is kind of sad in a way considering how much work we put into it..I hope I'm not the only one that has grown attached. Anyway today was a pretty awesome day. We got down to work right away. My team pulled out so much ivy and holly. One of the funny parts of the day was when Kevin lost his shoe while jumping on the pile. Another one was when I was pulling out Holly and it suddenly gave away and I went falling backwards, screaming as I went. I caused quite a commotion.
 The funnest part for everybody was when we played Camouflage, a game where stealth is absolutely necessary.
All in all it was a good way to say good bye and farewell to Tenino Court :)
 THANK YOU TO THE PEOPLE WHO BROUGHT US TREATS TODAY!!!!! XDD","2012-04-04 14:44","3980","230","Tenino Court Site"
"Frozen pinky toes.","     On this freezing and wet March day, my group and I decided to stay together and simply explore. We went to the areas of the field to which we've never been to. We discovered some mysterious things such a a tire, a bicycle part, and a closed jar that contained dissolved...something? To this day, we do not know who put it there or what the bizarre thing inside of it is. As we zig-zagged (crossed over and over again) the river, we noticed some raccoon and deer tracks. 
     At one point, we found a big whole in a tree and my two teammates crossed over the river to see it. As I started crossing the river by walking on a log that was in the river, I lost my balance but reclaimed it once my right side fell into the water. Fortunately, I only got my right leg wet up to my knee. After coming home that day, I put my feet into hot water because I could no longer feel them. When I was finally worm I still could not feel the pinky toes on both of my feet. Thus the title of my journal. 
     Altogether it was an integrative experience of curiosity, discovery, and cold feet.","2012-04-04 15:37","3981","232","Tenino Court Site"
"Mud.....","Mud.... A teenage girl's worse enemy, the icky-sticky brown stuff that covers Oregon's piece of earth like a rug. Sticky, eeww-y, gooey, mud..... But seriously mud is totally useful! One of the benefits I get from the mud is it's soft texture. When we are out in the field my team and I (Wildlife) use the mud to see the tracks left by the animals in the area! When there are tracks we can use them to see what kind of animal species live in the area! So as you can see even dirty slime-y eewww-y gooey yucky mucky mud can be useful!!!!!!!","2012-04-04 15:42","3982","120","Tenino Court Site"
"April 4,12","Today my mom and my brother came with me to my class and they both helped find wild life. we found different things like bugs and warms things like that. I had really fun doing that with my brother and my mom i'll load the pictures on stream webs soon. later on we played a game that was really fun. I didn't get caught the first time but I did the second time. Today was the last day but it was fun to go see my friends and at the same time do school.","2012-04-04 15:48","3983","233","Tenino Court Site"
"Reenactment of the Hunger Games.","     Today was our last day in the field and we once again split into groups, except this time Halle and Sarynn's little brother Zach and their mother Lisa helped joined our group. I was with Mallory walking along the river when she found a white flower (picture will go up soon) that she identified as a trillium! It was very interesting to see such beauty in the middle of dirt and spiky bushes. We also recognize a Robin and a Western Scrub-jay. I really enjoyed seeing the nature finally awakening and noticing small buds and leaves growing on trees.
     Something interesting and somewhat disturbing happened today when I found a very small (half an inch) round, brown-ish item. I touched it and it stuck to my fingers. When I smelled it, I realized what it was...So today I learned not to ever touch brown round things ever again!
     Another part of this day included a game. After asking twice about what we're supposed to do, I ""kind of"" got it. However I really enjoyed running as fast as I could and hiding quietly. This reminded me of the Hunger Games (books) and that's why I liked the game!","2012-04-04 17:43","3984","232","Tenino Court Site"
"last day at our site","Today was a really great fun day! we played some games and everyone seamed to be having a lot of fun! luckily the rain sord of held off till we were getting ready to leave all in all it was the best day ever!1","2012-04-04 22:32","3985","240","Tenino Court Site"
"Wow, look at what we've done!!!","     Last week was our last week ever in the field. It was kinda sad to say goodbye to the place we had seen so much of ever the past year. Its amazing to see all that we've accomplished. I mean, look at all the data on Stream Webs! And the site itself is completely remodeled by the invasive species team, which was once crawling in ivy. Though its sad to say goodbye to the old place, I'm proud of the work we've done there.","2012-04-05 10:44","3987","257","Tenino Court Site"
"Last day!","So last week we had out last field day! And it was so fun we did all of our water quality testing in about 3-4 spots. Then we got called back to the group and we played a really fun game called camouflage. The first round I fell and just laid there cause I figured he would they wouldn't see me! But the second game was talking longer then I thought it would so I started throwing stick is Jessica's direction to get her out and she threw one and got me out haha. But it was a good day!","2012-04-09 12:04","3991","282","Tenino Court Site"
"WQ with Camo-clad CWA","This year with Clackamas Web Academy at Tenino Court has been great!  The water quality teams were outstanding throughout the year, and we were able to collect some valuable data (while the water was flowing, anyway!).
Thanks to CWA for posting their observations, data, and photos on StreamWebs.  It will be great to get back out in the field and continue the journey!","2012-04-09 13:17","3992","4","Tenino Court Site"
"Getting to know the Soil Chemistry","I must say that I have been getting to know the Soil Chemistry team! They are super super nice guys and not one them are mean. I had great time talking to them but mostly Allan, who is awesome. He pretty much answers my questions any time I ask him too.. I totally appreciate him for doing that for me. They all do but for most part Allan does.  I also had a great time playing cameouflage game.  Thanks to Terri Gibson for the game she came with, it was super funnn!!!!!!!! :) ","2012-04-09 15:03","3993","265","Tenino Court Site"
"Getting to know the Soil Chemistry","I must say that I have been getting to know the Soil Chemistry team! They are super super nice guys and not one them are mean. I had great time talking to them but mostly Allan, who is awesome. He pretty much answers my questions any time I ask him too.. I totally appreciate him for doing that for me. They all do but for most part Allan does.  I also had a great time playing cameouflage game.  Thanks to Terri Gibson for the game she came with, it was super funnn!!!!!!!! :) ","2012-04-09 15:03","3994","265","Tenino Court Site"
"Field Day 4/4/12  Title:""Camouflage""","That day was our last field day of the River Science class. We, the Invasive Species Removal team, worked very hard to remove as much ivy as we could before our work was done this semester. We also enjoyed treats provided by some of my classmates. In the end, we all participated in a game called Camouflage. The game involved everybody trying to reach the person in the middle of the area; this was difficult due to the fact that we were not to be seen. I was able to do this by hiding behind our Principal, who was standing behind the person I needed to reach. The very moment he closed his eyes to count, I jumped up and tagged him. Fun Indeed.
- Tyler Ashby","2012-04-16 18:04","4002","124","CWA Johnson Creek Tolford Rd"
"Photo Point first week :)","The first week that we changed to a different group we met everybody on our team. They all showed up which is really good. But not all of our equipment showed up :( so it was really hard to do what we were suppose to be doing. It was still a lot of fun! We learned how to get by the day by using the nature around us to help us do the things that we couldn't do because they were missing.","2012-04-17 09:31","4003","280","Tenino Court Site"
"First week of invasive species","The first time are invasive species team group meet the first thing we did was identify the invasive plant species in the area that we were working in. So we could know what to pull and what not to pull. Then we mainly pulled ivy for the rest of the class. Samuel    ","2012-04-17 10:25","4005","274","Tenino Court Site"
"My group is so awesome","All my group does is pull ivy it is the best assignment in class. We talk and some times mess around... but most of the time we work. We have cleared out so much ivy but there is still a lot more to do I wish we were still going out to the field, so we could help the environment more.","2012-04-17 12:06","4006","274","Tenino Court Site"
"The class","I really like this class it is so much fun. I'm not a big fan of the games we play but that is just me. I love what me team does we pull ivy all day long. Some times it is overwhelming but we are doing it to help the environment.  ","2012-04-17 15:06","4007","274","Tenino Court Site"
"two weeks ago (photo point)","We got done early like we always do so we had enough time to build a little bridge over at the other end of the creek. We did it which it was really fun to do :) The reason we decided to build a bridge is because every week we had to walk across that area through the water. It was really deep and cold!!! That week we had a lot of fun :)","2012-04-17 22:54","4008","280","Tenino Court Site"
"The last week in the field :(    (Photo point)","Last week we finished early like always. We had notice that the bridge that we had made was clogging up the stream because the water had risen a lot. So we got to tear it down :) it was a ton of fun!!! After that we all play that one game were we all hind. The last week was a lot of fun but it is kind of sad that it was our last week. No more going out their together and getting dirty and having fun getting to know each other.","2012-04-17 23:02","4009","280","Tenino Court Site"
"4/18/12","","2012-04-18 12:17","4010","233","Tenino Court Site"
"4/18/12","I am in wild life group and I want to talk about what we did today. We actually finished our preseation and started woking to present and then we were done with everything. we started talking about funny things that happen latly. it stated all the pictures that we took thats in the presetainon our group picture. daria wasn't there when we took the picture so she photos hoped it it was funny. we had really fun. we were all laughing really hard.","2012-04-18 12:21","4011","233","Tenino Court Site"
"My experience on the field days!!!! :)","Hello everyone, I just wanted to share my experience on the field days. I have been having so much getting know the Soil Chemistry Team this semester. They are funny and fun to be around. And I also got to know my own team, The communication team. I love my team and so glad that I got spend time with them for few months. I have no regrets about anything, but I have learned so much everyone. Thank you :) :) :) 
   Sarynn Brechbiel.   ","2012-04-24 00:08","4014","265","Tenino Court Site"
"The Last Field Day","The 4th of April, 2012
  Here on the Invasive Species Removal Team I have learned two very important things: first, I have learned how invasive plants can slowly kill native plants and drain the soil of its nutrients. Second, I have come to understand that invasive plants don't stand a chance at survival if they happen to encounter Kevin Moore while he's in possession of a pickaxe. I'd like to give a formal thanks to the Environmental Literacy/River Science Class for teaching me these two very significant lessons on life. I would also like to address Deena Sevy, my English Holly removal partner. Thank you Deena for helping me to remove that dastardly evil Holly. I really enjoyed working with you and watching as you amazingly ate those two doughnuts and six cookies today. Thanks for the best, last field day ever, everyone!","2012-04-25 08:32","4015","283","Tenino Court Site"
"March 21, 2012 Field Day"," The 21st of March, 2012
  Garden gloves on. Shovels in hand. Holly in sight. And so it began. Deena and I drove our shovels into the rain-loosened dirt around the base of the Holly tree. We pulled and dug and kicked with Holly leaves scratching our faces and dirt flying into our hair. As the battle raged on, Deena and I swung our shovels at the abnormally large Holly bush. Still, the roots wouldn't budge and the plant stood firm. We were bound and determined to pull this native plant murder out of the ground and deliver it the death that it deserved, however. So we continued to fight the massive shrub. Our mighty struggle must have been seen and heard from every corner of the site because soon, Kevin came walking over to us, his dirt-caked pickaxe resting on his shoulder. He then asked us to step aside for a moment. We watched incrediously as Kevin swung his pickaxe over his head and down onto the roots of the invasive plant twice, then pulled the entire tree out of the ground with a single yank. He grabbed the recently deceased plant and held it over his head then ran back over to the rest of the team, all the while releasing some sort of victorious battle cry. All of that drama from Deena and I only to have our moment be stolen? Life's so unfair.","2012-04-25 09:01","4016","283","Tenino Court Site"
"Creek","On the last few creek days I pulled ivy with the invasive species team.","2012-04-25 10:44","4017","259","Tenino Court Site"
"Today at the Creek","Today was our last field day at the creek. We all will miss the creek and all of the adventures that we have taken.","2012-04-25 11:04","4018","125","Tenino Court Site"
"Last Field Day","The last field day was a blast! We got to eat cookies and donuts, I mean what is better that. For the last field day we where supposed to look up an animal that uses camouflage, but I forgot to read that email. But reading that email would have came in handy, during the game we played. We played a game called Camouflage. I'm pretty sure I was the easiest person to see, I had my zebra print rain boots on and a bright blue jacket. But I thought the game was really fun. So overall the last field day was a success! ","2012-04-27 11:24","4021","231","Tenino Court Site"
"What I've Learned","   During the time at the Tenino Court Site I have learned a lot. On the first field day our team had the special oops assignment. We were assigned to build a bridge. So we gathered up some long and short branches, but only the ones that where already on the ground. Once we where done it actually looked like a bridge, not a very stable bridge but a good bridge. I also learned how to work in a team and display teamwork. Working in a team can be a challenge but it can also be a lot of fun. The Tenino Court Site has brought some great memories, and it will be missed!","2012-04-27 11:40","4022","231","Tenino Court Site"
"Creek","At the creek I pulled ivy and holly with the invasive species removal team.","2012-04-27 12:04","4024","259","Tenino Court Site"
"At the creek","At the creek I pulled ivy and holly with the invasive species removal team.","2012-04-27 12:05","4026","259","Tenino Court Site"
"good bye","good bye to you all see later.","2012-04-30 21:10","4034","126","Tenino Court Site"
"my friend joey","joey is a friend that I'm going to miss,hes a tall skinny guy. his favet color is blue.he is very self Ara of his skinniness.        ","2012-05-01 19:31","4035","126","Tenino Court Site"
"Photo Point  first field day 10/10/12","Today went really well I think! Our group had really good team work and we got a lot accomplished. We have a total of 8 photo points.Great Job Photo Point!!","2012-10-10 15:19","4419","240","Tenino Court Site"
"good time","i had a great time at the site on Wednesday and met some new friends ","2012-10-11 11:31","4436","370","Tenino Court Site"
"Imnaha River Experience 10/11/2012","The water was super cold. There was more caddisflies than other macroinvertebrates. We learned that leeches can suck your blood. We got to pick up a tiny worm. We used tubes to suck up tiny macroinvertebrates so we could look at them closer. We had LOTS of fun being scientist!!!","2012-10-11 13:56","4440","109","Imnaha River"
"first day in the field","This week was my first week back in the field  since last school year. it was so good to see the familiar sites and people. This year I'm in invasive species removal group. This week was seven of us including Noah. Noah works for Jonson Creek Water Shed, he mainly works with school groups. I was with him last year and we had lots of fun the first week with Noah was already awesome and I look foreword to many more days with him. 
At the beginning of class we do some fun game this weeks was you had to say your name and do your favorite dance move. We then split in to are groups we started pulling ivy of trees. It was to hard to pull ivy out of the ground because it was to dry. It was a lot of work but it was also fun. It was amazing to see a tree but really all you could see was ivy it was all over, all we can see was green leaves and vines. Are job was was to remove the ivy it was so cool to see all the ivy on the ground but none on the trees. ","2012-10-17 13:16","4467","274","Tenino Court Site"
"Camp Creek Experience 10/18/2012","It was awesome. Rebekah worked especially hard measuring rocks. It was fun and we got a little wet. In the pool at Camp Creek, we didn't find many macroinvertebrates. The students are pros at data gathering because many of them have done this before. ","2012-10-18 13:39","4472","109","Camp Creek"
"Field Journal","  On our first day on the field we got to know each other better, and plan out what groups we were to go in. The group I went in had to search the area for water because there was no rain for several weeks we couldn't find any. Instead of joining another group right away our leader walked us through our equipment so we could know how to use it better for the next field day. After we were done we went to help the invasive species group. We helped them remove the plants were harming the trees and growing on them. We used two different tools to cut them off. It was fun and challenging to get the vine to come off the trees. Some of the vines were thick enough to go around your whole hand. Without the help of the tools it would of been imposable to get them off. It was very fun first trip and I hope the next one will be even better.","2012-10-22 18:43","4477","375","Tenino Court Site"
"Invasive Species Team Today","Today the invasive species team pulled out a huge amount of Ive it was very noticeable because of the patch of dirt and the giant pile of Ive we had a good day at the creek today. I would like to give a shout out to Sam for pulling out about 1/2 of the Ive we had pulled out today so thanks.","2012-10-24 14:08","4479","370","Tenino Court Site"
"photo point 10/24/12","Photo Point October 24th 2012 . Today our group worked together really well . We got a total of 11 photo points as of today. I am really glad to be a part of a team where everyone works together , and everyone has a specific job to make our field day a success. I am also glad to be the communications person for our group , I also feel that everyone else in my team has pretty much nominated me the team leader. Today our group only had three people but we still made sure that every job got done . Today we actually finished really early so we created three more photo points. Once all 11 photo points were graphed , measured and coordinated we had successfully completed our team task . Once finishing our team task we went over to help the invasive species team to pull out some ivy . Today went really well and I am grateful and thankful to be on a team where everyone works together as a team, to get the job done successfully . I was always told there is no I in team and it's true we all worked together and make a really great team. ","2012-10-24 14:09","4480","240","Tenino Court Site"
"10/22 Field Trip","Me and the rest of the animal and plant specialist discovered the different species of trees at the site. As far as animals, we only saw a creepy spider crawling on leafs trying to find a place to make a web. Had a blast!(: ","2012-10-25 11:37","4515","369","Tenino Court Site"
"Week one Photo point :)","     The first day in the field was a ton of fun. I like my group we are all pretty awesome. I am in the Photo Point Monitoring group. I take the photos, and I am the one that measures the distance of the camera spot from the stream and from the board.
     On our first day we took seven photo points. We took two photos from the middle of the stream, facing the opposite ways. Then we took two other photos, they were photo point spots from last year. One of the photos from last year were taken up the stream a ways from all of our other ones. The other photo from last year was of a leaf decomposition that we made last year. This year we just added more leaves to it so that we can see these leaves change this year.
     After taking do the other photo points we when to the main center area that we meat at the beginning at. We realized that we got done early, like we did all of last year. So we just all went around and took photos of other groups and what they were doing.
     When it was about time to leave we all went to the center area again and all went around talking about what we liked the most about the day and our groups. Ten when we were done with that we all went around looking for some kids phone because he lost it somewhere. Finally we all had to leave because the class was over, but we did not find the kids phone. The next week that we go out there I bet someone will find it.
     The thing that I remember the most is that the group was late again like almost all of last year. Me and My brother Sam drive to the location that they meat us at. So we are always there before the rest of the group. It is a lot of fun waiting there for them though. Because Noah is there too with us waiting. Me and my brother always help get everything out of Noah's car and then me, him, and Noah always just stand around and talk to each other.","2012-10-25 22:57","4546","280","Tenino Court Site"
"Forestry/tree boring","Field Journal 10/24/2012
     Today my team and I used a tree borer to age some of the trees. A tree borer is a drill with a T handle that you turn to make the drill sink into the tree.  It has a hole in the center of the drill where a plug of the tree goes.  When you drill you have to be completely level and you have to drill to the center of the tree.  This way you get a good plug that has all the rings of the tree.  Each ring of a tree represents a year of growth.  Besides the age of the tree the plug can tell you which years the tree was able to grow faster.  The thicker rings happened in better growing years, plenty of rain, good weather, etc.  By counting the rings back from the present we can tell which years droughts might have happened and things like that.
   We tested three trees.  The first tree was a cedar and it was 16 years old.  It showed pretty steady growth, all the rings were the same thickness, until the past three years.  The second tree we tested was thirty or thirty-one years old.  It was also a cedar.  All of it's rings were thinner than the first trees and the rings varied in thickness.  It seemed that every third ring was skinnier than the others so it almost made a pattern. The last tree we did was another cedar tree growing right next to the creek.  It was the biggest one we tested with forty nice big rings.
     We tried to test hard wood trees like maples, but the wood was so hard we couldn't get a core sample. The drill just wouldn't sink in.  So all of our samples had to be on the cedars which have soft wood.  We didn't bother testing any alders because they were so skinny.   ","2012-10-26 22:43","4547","379","Tenino Court Site"
"second day in the field","Today was are second day in the field. Me and my sister drive to class incited of riding the max to save time this was the first time that we were ever right on time. We all went down and got in are ""circle"" and played a game. It was a very interesting game I had never played it before. But the only problem was that we had to know peoples name and I did not know every ones name because I'm really bad at remembering names.
We then split of into our group to go do our different jobs. My groups job is to know the different invasive species and remove them. It can be very hard to remove invasive species such as ivy you need grab at the roots and pull and then most of the time the roots would come up to. It is different however to pull ivy of of trees, you need to cut of all the ivy at the base and around the tree but leave the stuff growing way up in the tree because it will die.
Some times we can get bored or tired of pulling ivy but we need to keep on track. We pulled all most a hole hillside of ivy in an hour and a half. Our group starts of with about 8 people in it which is the invasive species team but near the end of the class like if photo point monitoring finishes yearly they would come help us pull ivy which is very helpful.        ","2012-10-29 09:00","4550","274","Tenino Court Site"
"week two in the feild!! :)","    This week when we were out in the field for the field day we had one less person. We had one less person because Jared or some people call him bubbles dropped out of the class. Phelicia was the one that took the task of taking over Jared's spot and the stuff that he did. Jared would always be in charge of holding the meter board.
    Even though Jared is gone we still got a lot done and got done early. Since we got done so early we went and made more photo points. We made three more photo points, that put us up at having eleven photo points all together.
    When we got all the way done with the points we started helping in invasive species. We helped pull a lot of ivy. It was a lot of fun. We got to hangout while we worked. We got to work with people that we normally don’t work with, so that made it a lot more fun. Almost all of the groups were done with there stuff and were working with the invasive species group too.
    When it was time to meet back up in the center area Terri asked me to yell marshmallow, I did. It was really fun and funny because there were still some people gone but most of them were there already and when I yelled that they all looked at me like I was some kind of freak. In all the day was really good. ","2012-10-31 15:25","4551","280","Tenino Court Site"
"November 2, 2012 Upper Matson","     Today our MWS group went to upper Matson Creek and waded around the stream using kick nets to catch microinvertebrates and bring them back to the school to survey them under microscopes. The weather today was cloudy and started raining a small amount as we left. The creek had raised a significant amount since our last class on October 26, 2012 because of the amount of rain we had seen.","2012-11-02 14:30","4556","351","Matson Creek MWS Youth Program"
"matson creek 10/26/12","today i learned alot about different careers that involve what we are doing at matson.  i didnt even know that some of these jobs exsisted.  it showed me many possibilities of jobs i could have.  i also had some observations about today and what we did in the field.  in the part of the river that my group had there was alot of difference bewtween the right bank and the left one. on the left side there was a very steep slope with lots of vegetation on it and the slope went up along ways.  it was opposite with the other side. and there was lots of erosion on the right side","2012-11-04 14:17","4560","390","Matson Creek MWS Youth Program"
"Invasive species team","Today the Invasive species team pulled out even more English Ive than last time.
we also pulled out holy and Noah brought a pickaxe for the roots of that and it broke. so we just decided to pull out more Ive and we found a bunch of mushrooms and we decided to take a break shortly after the hot station opened so that was nice then we got back to pulling more Ive and there is now another patch where we were but we were able to see a giant patch of Ive on the other side of the creek but that Probably wont get done till next semester and next year even maybe so wish us luck.   ","2012-11-07 15:23","4571","370","Tenino Court Site"
"My day in the field","During our field visit this week I was placed on the spec ops team. Our challenge of the day was to rain proof a home-made fort Which wasn't easy and wasn't completed to the standards I would've liked but we had to make do with what we had. As well I want to thank all the people that helped and gave it more of a personal touch thank you. We also found evidence of bug life there and maybe a few smaller mammals as well. and that concludes my field journal.","2012-11-08 15:16","4600","368","Tenino Court Site"
"Matson Creek-10/26/12-1:35","It was warm and sunny. Water was cold and the ground was wet.
The stream had sand and small rocks. There were some fish in the water.
The the ground was also muddy.
There was a lot of woody vegetation in our section of the stream.","2012-11-08 20:23","4605","391","Matson Creek MWS Youth Program"
"Field Journal","On our last Field day their was actually a creek. We got to test the creeks water for the first time. The water we were going to test was up the creek. The ground was very wet and slippery. realized how much I need to buy some boot. When we got to a good spot upstream to test we stopped and put down our stuff. We first tested the water clarity. It was hard to find a deep enough spot to fill the bottle all the way. When we finished filling the bottle we found that the water quality was great. We then finish with the other tests like ph and turbidity. 
    After we we finished with the test and had them written down we headed up stream to look for pipes that lead into the creek. When we walked up stream for awhile we had to stop because it lead into someone property. So on our way back we picked up garbage and found a tier in the creek. We stopped to pull it out. The tier was deep in the ground in the creek and was very hard to pull it out. When we got it out we pull out as much mud as we could. After we got most of it out we pushed it up the hill.  We dropped it off and went to help the invasive species for the rest of the day. We were pulling out vines that were all over a hill. It was a very successful day and should help lots of plants that were struggling to grow on the hill.","2012-11-14 13:55","4607","375","Tenino Court Site"
"forestry progres report","     We had perfect weather; blue skies, no rain, and warm a temperature for this time of year.  The leaves have started to turn colors and fall.  The creek is low and the ground is not too muddy.  I think all of the teams made great progress.  Especially the invasive species team.  They cleared a whole area of ivy, roots and all.
     My team mate and I gathered measurements on several trees.  We were able to estimate the height of most of the trees we have diameter measurements for.  We named each tree T1 thru T8.  I used an equation to figure out how tall each tree was.  The equation uses the distance from the trunk of the tree measured in feet, where I can see the top of the tree through the sights of the triangle shaped measuring device.  It has a bubble in it so I can hold it perfectly level to get an accurate reading.  Then I added to my line of sight height, which is five feet, to get the total height of the tree.  I think the tool uses the Pythagorean theorem. The angles are set so the calculation is based on the length of the one leg of the triangle, which is the distance from the trunk of the tree.  The tree makes the 90 degree angle to the ground that you need for a triangle with a hypotenuse.  It is so clever.  It sure beats climbing the tree with a tape measure.  So here are the heights of the trees we measured.
     T1:  49.6 feet tall
     T2:  39 feet tall
     T3:  This tree is so tall I ran out of measuring tape long before I could see the top of the tree.  I estimate it would have taken four or five tape measure lengths to reach the spot where I could see the top of the tree.  When I go back I will try to get this information.  We ran out of time so I could not finish.
     T4:  7.10 feet tall
     T5:  29 feet tall
     T6:  27.2 feet tall
     T7:  ran out of time
     T8:  22.2 feet tall","2012-11-27 16:10","4643","379","Tenino Court Site"
"forestry progres report","     We had perfect weather; blue skies, no rain, and warm a temperature for this time of year.  The leaves have started to turn colors and fall.  The creek is low and the ground is not too muddy.  I think all of the teams made great progress.  Especially the invasive species team.  They cleared a whole area of ivy, roots and all.
     My team mate and I gathered measurements on several trees.  We were able to estimate the height of most of the trees we have diameter measurements for.  We named each tree T1 thru T8.  I used an equation to figure out how tall each tree was.  The equation uses the distance from the trunk of the tree measured in feet, where I can see the top of the tree through the sights of the triangle shaped measuring device.  It has a bubble in it so I can hold it perfectly level to get an accurate reading.  Then I added to my line of sight height, which is five feet, to get the total height of the tree.  I think the tool uses the Pythagorean theorem. The angles are set so the calculation is based on the length of the one leg of the triangle, which is the distance from the trunk of the tree.  The tree makes the 90 degree angle to the ground that you need for a triangle with a hypotenuse.  It is so clever.  It sure beats climbing the tree with a tape measure.  So here are the heights of the trees we measured.
     T1:  49.6 feet tall
     T2:  39 feet tall
     T3:  This tree is so tall I ran out of measuring tape long before I could see the top of the tree.  I estimate it would have taken four or five tape measure lengths to reach the spot where I could see the top of the tree.  When I go back I will try to get this information.  We ran out of time so I could not finish.
     T4:  7.10 feet tall
     T5:  29 feet tall
     T6:  27.2 feet tall
     T7:  ran out of time
     T8:  22.2 feet tall","2012-11-27 16:10","4644","379","Tenino Court Site"
